"","Module title","ID","Composite name","Module size...4","Module category","Annotation level","Web link","Top matched pathway in KEGG, PID and BIOCARTA","Jaccard Index...10","Enrichment p value...11","Pathway size","Overlap size...13","Top matched Chaussabel module","Jaccard Index...15","Enrichment p value...16","Module size...17","Overlap size...18","Top matched Transcription Factor","Jaccard Index...20","Enrichment p value...21","Gene set size","Overlap size...23","Top matched Gene Ontology terms (number of matched genes)","btm","group","subgroup","SetSize","Genes"
"76","enriched in B cells (V)","M47.4","enriched in B cells (V) (M47.4)",11,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M47.4.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (10), protein binding (7), plasma membrane (7)","M47.4","B CELLS","B CELLS",11,"GPR18, FAIM3, FCRL3, FCGR2B, LY9, CELSR1, CD37, TLR10, CD69, CD180, FCRL5"
"77","enriched in B cells (VI)","M69","enriched in B cells (VI) (M69)",20,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M69.htm","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.07,4.51e-11,75,6,"[Chaussabel.v2]M4.10",0.21,1.29e-21,32,9,NA,NA,NA,NA,NA,"plasma membrane (17), protein binding (14), integral to membrane (13)","M69","B CELLS","B CELLS",20,"CR2, PCDH9, TSPAN13, HLA-DOB, CD72, PTPRK, CD22, P2RX5, BTLA, MS4A1, PPAPDC1B, CXCR5, ABCB4, CD200, FCRL1, FCRL2, CD79A, CD79B, ADAM28, CD19"
"78","enriched in G-protein coupled receptors","M130","enriched in G-protein coupled receptors (M130)",10,"molecular function","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M130.htm","KEGG_CALCIUM_SIGNALING_PATHWAY",0.02,5.82e-05,178,3,NA,NA,NA,NA,NA,"CEBPB_02",0.01,9.25e-05,208,3,"G-protein coupled receptor protein signaling pathway (7), receptor activity (6), plasma membrane (6)","M130","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",10,"CCL5, XCL1, PTGER2, GPR18, F2R, ADRB2, S1PR5, PTGDR, ITPR3, PDE4D"
"79","enriched in NK cells (I)","M7.2","enriched in NK cells (I) (M7.2)",49,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M7.2.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M3.6",0.28,1.29e-45,47,21,NA,NA,NA,NA,NA,"protein binding (27), plasma membrane (21), cytoplasm (15)","M7.2","NK CELLS","NK CELLS",49,"TGFBR3, KLRB1, KLRD1, CCL5, TBX21, FCGR3B, PTGDR, CD247, NLRC3, GPR56, MYBL1, ARL4C, KLRF1, STAT4, PLEKHF1, IL18RAP, RORA, EOMES, XCL2, XCL1, FGFBP2, SAMD3, CTSW, CST7, ZAP70, KLRC1, PRKCH, S1PR5, CLIC3, TRD@, GNLY, SH2D2A, FASLG, PRF1, PRKCQ, GIMAP7, GZMA, IL2RB, HOPX, ITK, GZMB, NKG7, CD96, GZMM, GZMH, KLRK1, SLAMF7, TRA@, TARP"
"80","enriched in NK cells (II)","M61.0","enriched in NK cells (II) (M61.0)",24,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M61.0.htm","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.07,7.6e-19,137,11,"[Chaussabel.v2]M3.6",0.11,4e-14,47,7,NA,NA,NA,NA,NA,"plasma membrane (16), integral to membrane (13), integral to plasma membrane (12)","M61.0","NK CELLS","NK CELLS",24,"KLRB1, CD7, GPR56, NKG7, KIR2DL2, KIR2DS4, KIR2DS5, KIR2DS2, KIR2DS3, S1PR5, KIR2DS1, KLRF1, TGFBR3, KIR3DL1, KIR2DL5A, KIR3DL3, IL2RB, KLRK1, KIR2DL3, CD96, KIR2DL1, CD247, PVRIG, TARP"
"81","enriched in NK cells (III)","M157","enriched in NK cells (III) (M157)",14,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M157.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (8), plasma membrane (7), integral to membrane (6)","M157","NK CELLS","NK CELLS",14,"KLRC3, PPP1R16B, RASGRP1, CCL4, CX3CR1, GPR18, TIGIT, CD7, C1orf21, PVRIG, GIMAP6, TRGC2, MATK, PTPN4"
"82","enriched in NK cells (KIR cluster)","M61.1","enriched in NK cells (KIR cluster) (M61.1)",13,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M61.1.htm","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.12,1.74e-25,89,11,"[Chaussabel.v2]M8.46",0.21,1.24e-13,16,5,NA,NA,NA,NA,NA,"plasma membrane (8), regulation of immune response (7), receptor activity (7)","M61.1","NK CELLS","NK CELLS",13,"KIR2DS4, KIR2DS5, KIR2DS2, KIR2DS3, KIR2DS1, KIR2DL3, KIR2DL2, KIR2DL1, KIR2DL4, KIR3DS1, KIR3DL1, KIR2DL5A, KIR3DL3"
"83","enriched in NK cells (receptor activation)","M61.2","enriched in NK cells (receptor activation) (M61.2)",16,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M61.2.htm","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.08,1.39e-21,137,11,"[Chaussabel.v2]M4.15",0.09,8.12e-11,42,5,NA,NA,NA,NA,NA,"plasma membrane (14), protein binding (12), regulation of immune response (10)","M61.2","NK CELLS","NK CELLS",16,"KIR2DL3, ITK, CD96, CARD11, KIR2DS2, KIR2DS1, CD244, KIR2DL2, KIR2DL1, CD247, KLRK1, ZAP70, KIR2DL4, PRKCQ, KIR3DL1, KLRD1"
"84","enriched in T cells (I)","M7.0","enriched in T cells (I) (M7.0)",62,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M7.0.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M4.15",0.18,2.59e-31,42,16,NA,NA,NA,NA,NA,"protein binding (36), plasma membrane (28), integral to membrane (15)","M7.0","T CELLS","T CELLS",62,"IL7R, KLRB1, CCL5, RASGRP1, TRA@, SH2D1A, TRAV20, BCL11B, CD6, CD7, TRBC1, CD2, LEF1, NKG7, UBASH3A, PTPRCAP, TRAC, TRD@, TRAT1, SLA2, RORA, MAL, EOMES, XCL2, XCL1, ETS1, ZAP70, SAMD3, SIT1, NLRC3, SIRPG, PRKCH, ICOS, CD28, TRAJ17, NELL2, GNLY, CD27, LAT, FLT3LG, PRF1, PRKCQ, GIMAP6, GIMAP7, GATA3, ITK, LCK, GZMA, GZMB, CD96, GZMM, GZMH, TIGIT, GZMK, ITM2A, CD247, GPR171, IL32, TARP, CD3D, CD3E, CD3G"
"85","enriched in T cells (II)","M223","enriched in T cells (II) (M223)",13,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M223.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (7), plasma membrane (5), nucleus (4)","M223","T CELLS","T CELLS",13,"SLC38A1, HOPX, CD40LG, DENND2D, TC2N, PLEKHF1, LRRN3, CLEC2D, FGFBP2, LBH, TRGC2, DPP4, LOC439949"
"86","enriched in activated dendritic cells (I)","M119","enriched in activated dendritic cells (I) (M119)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M119.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NFKB_Q6",0.05,2.52e-23,201,11,"protein binding (8), plasma membrane (5), signal transduction (4)","M119","INNATE RESPONSE","DC ACTIVATION",11,"IL1RN, CXCL2, RGL1, CD83, PRKCD, CD86, RIN2, SLAMF8, IL4I1, ATP1B1, PLXDC2"
"87","enriched in activated dendritic cells (II)","M165","enriched in activated dendritic cells (II) (M165)",35,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M165.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (21), extracellular region (11), cytoplasm (10)","M165","INNATE RESPONSE","DC ACTIVATION",35,"CSF2RB, IFIH1, CSF2RA, TNFAIP6, HESX1, CCL8, MX2, DOCK4, PDGFRL, MGST1, IFNGR2, IFIT3, IFIT2, IFIT1, HLX, SERPING1, RSAD2, CCL20, ST3GAL6, RBM47, IFI27, DAPK1, PRRG4, PDGFC, PARP9, LAMP3, CXCL11, DSE, IL18, BCL2A1, FAM20C, PRKAR2B, HERC5, SIGLEC1, ATF3"
"88","enriched in activated dendritic cells/monocytes","M64","enriched in activated dendritic cells/monocytes (M64)",17,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M64.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M3.2",0.03,5.01e-08,138,5,NA,NA,NA,NA,NA,"protein binding (7), plasma membrane (7), integral to membrane (6)","M64","INNATE RESPONSE","DC ACTIVATION",17,"CXCL1, DRAM1, G0S2, SOD2, SIRPA, IL1RN, NINJ1, IL13RA1, TNFAIP2, SLC31A2, BASP1, MARCKS, FAM129A, ANPEP, SLC15A3, IL1B, IL8"
"89","enriched in antigen presentation (I)","M71","enriched in antigen presentation (I) (M71)",18,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M71.htm","KEGG_ASTHMA",0.17,1.21e-16,30,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"endoplasmic reticulum membrane (18), endoplasmic reticulum (17), membrane (16)","M71","INNATE RESPONSE","ANTIGEN PRESENTATION",18,"CD74, HLA-DPB1, HLA-DRA, CYP1B1, PLAUR, PTGS2, HMOX1, HLA-DRB1, ASPH, RTN1, HLA-DRB4, HLA-DQB1, FAR2, HLA-DPA1, ITPR3, HLA-DQA1, AGPAT9, SLC27A2"
"90","enriched in antigen presentation (II)","M95.0","enriched in antigen presentation (II) (M95.0)",24,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M95.0.htm","KEGG_CELL_ADHESION_MOLECULES_CAMS",0.07,8.27e-17,134,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (17), plasma membrane (14), integral to membrane (10)","M95.0","INNATE RESPONSE","ANTIGEN PRESENTATION",24,"CD53, IL10RA, ITGA4, FYB, HLA-DRA, HLA-DRB1 /// HLA-DRB4, HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5, HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4, HCLS1, PTPRC, HLA-DPB1, ITGB2, HLA-DRB1, GIMAP6, EVI2B, PLEK, SLA, SELL, IRF8, FGL2, ITGAL, ITGAM, AIF1, HLA-DMA"
"91","enriched in antigen presentation (III)","M95.1","enriched in antigen presentation (III) (M95.1)",15,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M95.1.htm","BIOCARTA_BLYMPHOCYTE_PATHWAY",0.24,3.07e-14,11,5,"[Chaussabel.v2]M5.1",0.02,1.6e-05,238,4,NA,NA,NA,NA,NA,"protein binding (10), plasma membrane (9), integral to membrane (7)","M95.1","INNATE RESPONSE","ANTIGEN PRESENTATION",15,"FYB, CD53, HLA-DRA, ITGB2, ICAM1, PLEK, HLA-DRB1, LAPTM5, HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5, PTPRC, HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4, EVI2B, HLA-DMB, AIF1, HLA-DMA"
"92","enriched in calcium signaling proteins","M239","enriched in calcium signaling proteins (M239)",15,"signaling","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M239.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HNF3B_01",0.02,4.75e-06,175,4,"protein binding (7), plasma membrane (5), membrane (5)","M239","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",15,"SLITRK6, FLJ35409, FAM196A, EPHB1, DMD, C1orf114, SPOCK3, GRIA4, TRPC3, LOC441666, CAPS2, LOC642426, MYOZ2, F11, LOC338739"
"93","enriched in cell cycle","M167","enriched in cell cycle (M167)",15,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M167.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M3.1",0.04,2.28e-07,82,4,NA,NA,NA,NA,NA,"protein binding (13), nucleus (13), cytoplasm (11)","M167","CELL CYCLE","CELL CYCLE",15,"BCL2L1, PPP2R1A, GSPT1, EHMT2, SESN3, MAD1L1, CDC34, TGFB1, PSMD3, AKT1, DNM2, FLNA, TSC2, RBM38, STRADB"
"94","enriched in dendritic cells","M168","enriched in dendritic cells (M168)",19,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M168.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (11), membrane (8), cytoplasm (7)","M168","INNATE RESPONSE","DC ACTIVATION",19,"CLEC10A, B3GNT5, PGD, JAG1, FCER1A, EMILIN2, CLEC5A, CA2, CTSB, FAM20C, ADAM9, RRAGD, TACSTD2, CTSL1, IL1R1, GGTA1, DAB2, CAPG, AGPAT9"
"95","enriched in extracellular matrix & associated proteins","M202","enriched in extracellular matrix & associated proteins (M202)",12,"location","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M202.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GATA1_04",0.02,2.7e-06,195,4,"protein binding (8), extracellular region (5), plasma membrane (4)","M202","ECM AND MIGRATION","ECM AND MIGRATION",12,"PDGFRA, SFRP4, TWIST1, CCDC80, PCDH7, PCOLCE, GLT8D2, GAS1, PRRX1, FBLN1, CALD1, LUM"
"96","enriched in monocytes (I)","M4.15","enriched in monocytes (I) (M4.15)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.15.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GTGGGTGK_UNKNOWN",0.01,0.000159,225,3,"protein binding (9), cytoplasm (5), signal transduction (4)","M4.15","MONOCYTES","MONOCYTES",11,"TNFSF13, MYCL1, EPB41L3, DPYSL2, RTN1, SLC31A2, FES, LGALS3, HCK, APLP2, LGALS1"
"97","enriched in monocytes (II)","M11.0","enriched in monocytes (II) (M11.0)",189,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M11.0.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (104), plasma membrane (72), integral to membrane (62)","M11.0","MONOCYTES","MONOCYTES",189,"FXYD6, KCNE3, FAM198B, HSPA6, LAT2, CD33, TIMP2, CD36, TNFSF12-TNFSF13, C5AR1, MARCH1, FCGR1B, FCGR1A, SLC15A3, S100A11, MS4A7, MAFB, S100A12, CPPED1, TYROBP, FGR, PLA2G7, IRAK3, LYN, PYGL, SIRPA, FCAR, CRISPLD2, RNASE2, TBXAS1, PLBD1, HK3, FPR2, NOD2, IFI30, AQP9, IMPA2, LRP1, TMEM176A, CSF3R, RBP7, CACNA2D3, MS4A4A, HPSE, KCTD12, SMPDL3A, LST1, RBM47, SYK, SECTM1, PLXDC2, TLR2, CD163, BST1, TLR4, GLT1D1, TREM1, TLR8, FBP1, TNFSF13, CD1D, CSF2RA, SLC7A7, EMR2, RASSF4, SLC31A2, MGST1, IFNGR2, RIN2, LY86, PLXNB2, LILRB3, LILRB2, LILRB1, CLEC7A, QPCT, RNF130, PILRA, NFE2, TNS3, HNMT, GCA, FCN1, TFEC, VNN2, VNN3, TLR5, RTN1, NCF1C, GAS2L1, GRN, BLVRB, ITGAX, MS4A6A, IL13RA1, CD93, TNFAIP2, CD14, ITGAM, SIRPB1, SORT1, AIF1, BTK, NCF2, NCF1, MYCL1, CCR1, CD302, PTAFR, HCK, STAB1, P2RY13, FCER1G, SPI1, CYP1B1, NLRP3, CSF1R, CD86, SCPEP1, ADAP2, S100A9, S100A8, CST3, KIAA0513, EPB41L3, MTMR11, CSTA, RXRA, ASGR1, ASGR2, FES, LGALS2, PRAM1, KIAA1598, CDA, SGK1, LMO2, ALDH2, FGL2, CLEC4E, CTSH, CYFIP1, MPEG1, PLAUR, IGSF6, NLRP12, MEGF9, APOB48R, F13A1, ALDH1A1, SERPINA1, CEBPA, KYNU, RAB32, RAB31, CEBPD, SEPX1, SIGLEC7, SULF2, MYOF, KLF4, FPR1, MNDA, FCGRT, ALOX5, ANPEP, PDGFC, NRGN, PRKCD, FCGR2A, CYBB, PADI2, CPVL, DMXL2, AOAH, CHST15, CFD, SLC11A1, CLEC4A, ZNF467, TYMP, SIGLEC9, LILRA6, TGFBI, LILRA5, LILRA2, LILRA3, CFP, LILRA1"
"98","enriched in monocytes (III)","M73","enriched in monocytes (III) (M73)",12,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M73.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M3.2",0.02,4.95e-05,138,3,"HMGIY_Q6",0.02,2.28e-06,187,4,"protein binding (8), regulation of transcription, DNA-dependent (5), nucleus (5)","M73","MONOCYTES","MONOCYTES",12,"CEBPB, DUSP6, MAML3, TFEC, FOS, IER3, CCR1, RIN2, GPR109B, BCL6, PLXDC2, TIMP2"
"99","enriched in monocytes (IV)","M118.0","enriched in monocytes (IV) (M118.0)",57,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M118.0.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (35), plasma membrane (23), integral to membrane (23)","M118.0","MONOCYTES","MONOCYTES",57,"PTGS2, EMR1, AMICA1, DOCK5, CD4, LY96, ARHGEF10L, TNFSF13B, LTBR, PGD, TNFRSF1B, LRRK2, DPYD, MGAM, PTX3, LYZ, IL1R2, DOK3, CARD9, EVI5, GPR109B, DUSP6, MYO1F, FGD4, HHEX, HAL, ST3GAL6, DYSF, RNASE6, SLC24A4, VNN1, NAIP, RHOU, CD68, CXCR2, NACC2, SMARCD3, PADI4, TMEM176B, LGALS3, SAMHD1, CTSS, EMILIN2, ACPP, F5, STEAP4, C19orf59, ACSL1, PAK1, C1orf162, MOSC1, TLR1, PID1, BCL6, HLA-DMB, MPP1, AGPAT9"
"100","enriched in monocytes (surface)","M118.1","enriched in monocytes (surface) (M118.1)",17,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M118.1.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (17), plasma membrane (11), membrane (10)","M118.1","MONOCYTES","MONOCYTES",17,"LTBR, CD4, TNFRSF1B, MCTP1, S1PR3, EMR1, C19orf59, SLC24A4, STEAP4, C1orf162, SLC16A3, NFAM1, TMEM176B, HLA-DMB, IL1R2, AGPAT9, TNFSF13B"
"101","enriched in myeloid cells and monocytes","M81","enriched in myeloid cells and monocytes (M81)",35,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M81.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (26), plasma membrane (18), blood coagulation (15)","M81","MONOCYTES","MONOCYTES",35,"LIN7A, MYH10, PTGS1, EHD3, PCSK6, CCR2, CHI3L1, EGF, CLEC5A, FCER1G, NLRP3, ITGA2B, MMRN1, CSF1R, THBS1, SPARC, MARCKS, SLC8A1, PDGFA, ITGB3, HHEX, PROS1, TF, CLU, CXCL12, PRAM1, ACTN1, F5, CD14, FKBP1B, TLR7, TLR4, SNCA, BCL6, SELP"
"102","enriched in naive and memory B cells","M83","enriched in naive and memory B cells (M83)",10,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M83.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRF1_Q6",0.05,2.93e-21,201,10,"protein binding (6), integral to membrane (5), plasma membrane (4)","M83","B CELLS","B CELLS",10,"NR3C2, PCDH9, NRXN3, PKIG, FCGR2B, CD37, MEF2C, BANK1, MS4A1, LY86"
"103","enriched in neutrophils (I)","M37.1","enriched in neutrophils (I) (M37.1)",52,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M37.1.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M3.2",0.13,1.13e-35,138,22,NA,NA,NA,NA,NA,"plasma membrane (25), integral to membrane (23), protein binding (19)","M37.1","NEUTROPHILS","NEUTROPHILS",52,"LIN7A, NCF4, EMR3, FCGR3A, S100P, FCGR3B, TNFRSF10C, C5AR1, MGC31957, CHI3L1, NLRP12, CYP4F3, MXD1, SEPX1, MGAM, DGAT2, RGL4, REPS2, VNN2, CXCR1, NFE2, KRT23, GPR109B, PYGL, FPR2, G0S2, KCNJ15, LRRC4, FPR1, CREB5, FCGR2A, CMTM2, MANSC1, CSF3R, FFAR2, RNF24, LRG1, ST6GALNAC2, ORM1, MME, CDA, PROK2, PFKFB4, VNN3, SLC22A4, BASP1, TREM1, GLT1D1, GPR97, PTAFR, STEAP4, ALPL"
"104","enriched in neutrophils (II)","M163","enriched in neutrophils (II) (M163)",14,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M163.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (5), integral to membrane (5), plasma membrane (4)","M163","NEUTROPHILS","NEUTROPHILS",14,"NPL, ARAP3, HSPA6, TYROBP, CFD, IMPA2, DENND3, BTNL8, FRAT2, MBOAT7, TSPAN2, BEST1, FLJ10357, SLC40A1"
"105","extracellular matrix (I)","M2.0","extracellular matrix (I) (M2.0)",30,"location","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M2.0.htm","KEGG_FOCAL_ADHESION",0.08,9.9e-28,201,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (27), extracellular region (26), extracellular matrix (21)","M2.0","ECM AND MIGRATION","ECM AND MIGRATION",30,"CDH11, PDGFRB, PDGFRA, VCAN, BGN, AEBP1, COL3A1, THBS1, LUM, DCN, THBS2, FSTL1, NID2, NID1, PCOLCE, SPP1, PDGFC, LAMA4, FBN1, COL5A2, COL5A1, COL4A2, COL4A1, MXRA8, COL1A2, COL1A1, COL6A1, COL6A3, COL6A2, MMP2"
"106","extracellular matrix (II)","M2.1","extracellular matrix (II) (M2.1)",45,"location","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M2.1.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"extracellular region (38), extracellular space (31), protein binding (29)","M2.1","ECM AND MIGRATION","ECM AND MIGRATION",45,"TNFSF13, CD40LG, MPO, VCAN, TFF3, AEBP1, OLFM4, COL3A1, LOX, TNFAIP2, HTRA1, LILRB2, PLA2G7, CHIT1, THBS2, RETN, NID2, NID1, CRISP3, CST3, CTSH, LAMA4, ENTPD1, FBN1, COL5A2, POSTN, COL5A1, COL4A2, CEACAM8, GRN, ACHE, LRG1, CTSG, CXCL1, SMPDL3A, ORM1, ARG1, SPARC, FGL2, COL1A2, ANGPTL2, COL1A1, TGFBI, COL6A2, MMP2"
"107","extracellular matrix (III)","M2.2","extracellular matrix (III) (M2.2)",14,"location","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M2.2.htm","KEGG_ECM_RECEPTOR_INTERACTION",0.05,1.34e-09,84,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"extracellular region (12), protein binding (11), extracellular matrix (10)","M2.2","ECM AND MIGRATION","ECM AND MIGRATION",14,"CDH11, DCN, LAMA4, VCAN, FBN1, COL5A2, NID2, COL5A1, COL1A2, ANGPTL2, COL3A1, EDNRA, AEBP1, MMP1"
"108","extracellular matrix, collagen","M210","extracellular matrix, collagen (M210)",32,"location","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M210.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"extracellular region (31), protein binding (26), proteinaceous extracellular matrix (20)","M210","ECM AND MIGRATION","ECM AND MIGRATION",32,"COL10A1, TIMP3, COL11A1, TIMP1, SPARCL1, MFAP5, MFAP4, MFAP2, LAMB1, DCN, PODN, ADAMTS1, MGP, TGFB1I1, COL8A2, SERPINA1, EFEMP1, COMP, EFEMP2, COL4A1, TNC, SFRP2, EMILIN1, OMD, COL14A1, C1QA, CTGF, ADAMTS12, PXDN, COL6A3, CTHRC1, COL12A1"
"109","extracellular matrix, complement","M140","extracellular matrix, complement (M140)",14,"location","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M140.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"extracellular region (12), extracellular matrix (9), protein binding (7)","M140","ECM AND MIGRATION","ECM AND MIGRATION",14,"SLPI, CRISPLD2, FCN1, LTBP2, PRTN3, LAMA2, TFF3, FLRT2, IGFBP7, CRISP3, MMP9, MMP8, CFP, TIMP2"
"110","formyl peptide receptor mediated neutrophil response","M11.2","formyl peptide receptor mediated neutrophil response (M11.2)",10,"signaling","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M11.2.htm","BIOCARTA_FMLP_PATHWAY",0.12,2.42e-12,37,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (6), plasma membrane (6), signal transduction (4)","M11.2","NEUTROPHILS","NEUTROPHILS",10,"NCF2, SLC11A1, CAMK1, FPR1, IGSF6, SECTM1, FCGR2A, PILRA, NCF1C, PAK1"
